gene_name,prediction,score,Pfam,PANTHER,SUPERFAMILY
tara,True,0.9804,SERTA motif,CELL DIVISION CYCLE ASSOCIATED PROTEIN 4/SERTA DOMAIN-CONTAINING PROTEIN 2,N/A
Fer2,True,0.9821,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, TWIST","HLH, helix-loop-helix DNA-binding domain"
pad,True,0.964,Zinc-finger associated domain (zf-AD),KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
ss,True,0.936,PAS fold,ARYL HYDROCARBON RECEPTOR,"HLH, helix-loop-helix DNA-binding domain"
Ubx,True,0.9825,Homeodomain,HOMEOBOX PROTEIN HOX,Homeodomain-like
Abd-B,True,0.997,Homeodomain,HOMEOBOX PROTEIN ABDOMINAL-B,Homeodomain-like
abd-A,True,0.9972,Homeobox protein,HOMEOBOX PROTEIN HOX,Homeodomain-like
kuk,True,0.6198,N/A,N/A,N/A
Brf,True,0.5971,Transcription factor TFIIB repeat,TRANSCRIPTION INITIATION FACTOR IIB-RELATED,Cyclin-like
Odj,True,0.8793,"Zinc finger, C2H2 type",ZINC FINGER AND BTB DOMAIN-CONTAINING,Glucocorticoid receptor-like (DNA-binding domain)
CG17801,True,0.9789,N/A,N/A,N/A
Nnk,True,0.9732,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG17806,True,0.9729,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
sr,True,0.9991,"Zinc finger, C2H2 type",REGULATORY PROTEIN MIG1-RELATED,beta-beta-alpha zinc fingers
repo,True,0.9984,Homeodomain,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
CG18599,True,0.9993,Homeodomain,HOMEOBOX PROTEIN EMX-RELATED,Homeodomain-like
hmw,True,0.9124,Hemingway/CFA97,CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 97-RELATED,N/A
CG7691,True,0.6106,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
fru,True,0.9796,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
cdi,True,0.8936,Protein tyrosine and serine/threonine kinase,LIM DOMAIN KINASE 1,Protein kinase-like (PK-like)
sqz,True,0.9821,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG14282,True,0.6934,N/A,N/A,N/A
Aptx,True,0.7111,Scavenger mRNA decapping enzyme C-term binding,APRATAXIN-RELATED,HIT-like
CG4854,True,0.9709,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
idc,True,0.9487,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
trem,True,0.9322,C2H2-type zinc finger,PR DOMAIN ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
CG4424,True,0.9547,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
mira,True,0.8733,N/A,N/A,N/A
Sag1,True,0.9922,C2H2-type zinc finger,PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG15696,True,0.9574,Homeodomain,HOMEO BOX HB9 LIKE A-RELATED,Homeodomain-like
dmrt93B,True,0.9668,DM DNA binding domain,DOUBLESEX AND MAB-3 RELATED TRANSCRIPTION FACTOR  DMRT,"Cysteine-rich DNA binding domain, (DM domain)"
HHEX,True,0.9847,Homeodomain,HOMEOBOX PROTEIN HHEX,Homeodomain-like
mod(mdg4),True,0.6733,FLYWCH zinc finger domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
tin,True,0.9987,Homeodomain,HOMEOBOX PROTEIN NKX,Homeodomain-like
bap,True,0.9979,Homeodomain,HOMEOBOX PROTEIN NKX,Homeodomain-like
lbe,True,0.9943,Homeodomain,TRANSCRIPTION FACTOR LBX,Homeodomain-like
lbl,True,0.9812,Homeodomain,TRANSCRIPTION FACTOR LBX,Homeodomain-like
C15,True,0.998,Homeodomain,IP01054P,Homeodomain-like
E2f1,True,0.9958,E2F/DP family winged-helix DNA-binding domain,TRANSCRIPTION FACTOR E2F,"""Winged helix"" DNA-binding domain"
slou,True,0.9997,Homeodomain,HOMEOBOX PROTEIN NKX,Homeodomain-like
Polr1H,True,0.6931,Transcription factor S-II (TFIIS),DNA-DIRECTED RNA POLYMERASE,Zinc beta-ribbon
mRpL35,True,0.5352,Ribosomal protein L35,"39S RIBOSOMAL PROTEIN L35, MITOCHONDRIAL",L35p-like
btn,True,0.9908,Homeodomain,HOMEOBOX PROTEIN MOX,Homeodomain-like
RNF220,True,0.9202,E3 ubiquitin-protein ligase RNF220,E3 UBIQUITIN-PROTEIN LIGASE RNF220 ISOFORM X1,RING/U-box
CG6688,True,0.9152,"E3 ubiquitin-protein ligase sina/sinah, RING finger",E3 UBIQUITIN-PROTEIN LIGASE SIAH2,RING/U-box
Cow,True,0.6707,Secreted protein acidic and rich in cysteine Ca binding region,SPARC  OSTEONECTIN,Kazal-type serine protease inhibitors
lmd,True,0.9776,"Zinc finger, C2H2 type",TRANSCRIPTIONAL ACTIVATOR CUBITUS INTERRUPTUS,beta-beta-alpha zinc fingers
wam,True,0.5645,ODAD1 central coiled coil region,COILED-COIL DOMAIN-CONTAINING PROTEIN 63,N/A
CG31365,True,0.9669,Zinc-finger associated domain (zf-AD),ODD-SKIPPED - RELATED,Glucocorticoid receptor-like (DNA-binding domain)
CG4374,True,0.9798,"Zinc finger, C2H2 type",ZINC FINGER AND BTB DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
nau,True,0.9926,Myogenic Basic domain,MYOGENIC FACTOR,"HLH, helix-loop-helix DNA-binding domain"
CG31140,True,0.6184,Ras association (RalGDS/AF-6) domain,DIACYLGLYCEROL KINASE,Cysteine-rich domain
tbrd-1,True,0.9024,Bromodomain,FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS,Bromodomain
Spps,True,0.997,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
CG5746,True,0.9651,N/A,N/A,N/A
REPTOR,True,0.9919,N/A,ADULT RETINA PROTEIN,N/A
Polr2L,True,0.9978,RNA polymerases N / 8 kDa subunit,"DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC5 FAMILY MEMBER",RNA polymerase subunit RPB10
Ets96B,True,0.9889,Ets-domain,ETS,"""Winged helix"" DNA-binding domain"
Hr96,True,0.9875,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR,Glucocorticoid receptor-like (DNA-binding domain)
fd96Ca,True,0.9124,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
fd96Cb,True,0.8495,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
danr,True,0.997,CENP-B N-terminal DNA-binding domain,PROTEIN DISTAL ANTENNA,Homeodomain-like
CG31109,True,0.9427,Zinc-finger associated domain (zf-AD),BCDNA.LD26519-RELATED,Glucocorticoid receptor-like (DNA-binding domain)
dan,True,0.9997,CENP-B N-terminal DNA-binding domain,PROTEIN DISTAL ANTENNA,Homeodomain-like
CG10669,True,0.9068,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
jigr1,True,0.9462,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
CG4730,True,0.8988,Zinc-finger associated domain (zf-AD),KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG14540,True,0.6797,N/A,N/A,N/A
E(spl)mdelta-HLH,True,0.9852,N/A,N/A,N/A
E(spl)mgamma-HLH,True,0.9936,N/A,N/A,N/A
E(spl)m3-HLH,True,0.9806,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED","HLH, helix-loop-helix DNA-binding domain"
E(spl)m7-HLH,True,0.9691,Hairy Orange,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED","HLH, helix-loop-helix DNA-binding domain"
E(spl)m8-HLH,True,0.9959,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED","HLH, helix-loop-helix DNA-binding domain"
gro,True,0.9439,"WD domain, G-beta repeat",TRANSDUCIN-LIKE ENHANCER PROTEIN,WD40 repeat-like
dysf,True,0.9879,NPAS4 bHLH domain,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA,PYP-like sensor domain (PAS domain)
E(spl)mbeta-HLH,True,0.9535,N/A,N/A,N/A
CG14546,True,0.8883,N/A,N/A,N/A
CG14556,True,0.612,Domain of unknown function (DUF4763),N/A,N/A
His2Av,True,0.9996,C-terminus of histone H2A,HISTONE H2A,Histone-fold
ms(3)K81,True,0.9332,N/A,N/A,N/A
Ets97D,True,0.9976,Ets-domain,ETS,"""Winged helix"" DNA-binding domain"
CG5815,True,0.9897,SPT2 N-terminal domain,YEAST SPT2-RELATED,N/A
CG6051,True,0.9838,FYVE zinc finger,LATERAL SIGNALING TARGET PROTEIN 2 HOMOLOG,FYVE/PHD zinc finger
bigmax,True,0.918,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX ZIP TRANSCRIPTION FACTOR,"HLH, helix-loop-helix DNA-binding domain"
woc,True,0.946,MYM-type Zinc finger with FCS sequence motif,ZINC FINGER MYM-TYPE PROTEIN,N/A
Ets98B,True,0.9899,Ets-domain,ETS,"""Winged helix"" DNA-binding domain"
Boh1,True,0.9896,N/A,ZINC FINGER PROTEIN 142,beta-beta-alpha zinc fingers
Noa36,True,0.7929,NOA36 protein,ZINC FINGER PROTEIN 330,N/A
fkh,True,0.9926,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
Dr,True,0.9986,Homeodomain,HOMEOBOX PROTEIN MSX,Homeodomain-like
dmrt99B,True,0.9893,DM DNA binding domain,DOUBLESEX AND MAB-3 RELATED TRANSCRIPTION FACTOR  DMRT,"Cysteine-rich DNA binding domain, (DM domain)"
CG15514,True,0.6987,BED zinc finger,N/A,beta-beta-alpha zinc fingers
Sry-beta,True,0.9749,N/A,N/A,N/A
Sry-delta,True,0.936,N/A,N/A,N/A
Ppi1,True,0.8066,Domain of unknown function (DUF4788),FI08034P-RELATED,N/A
ZIPIC,True,0.9736,C2H2-type zinc finger,KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG7903,True,0.9306,RNA recognition motif,SERINE/ARGININE RICH SPLICING FACTOR,"RNA-binding domain, RBD"
heca,True,0.9009,Headcase protein,HEADCASE PROTEIN,N/A
CG2267,True,0.8918,Calcium-dependent calmodulin binding,N/A,N/A
PH4alphaMP,True,0.7739,N/A,N/A,N/A
CG12071,True,0.8943,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
Sox100B,True,0.7325,HMG (high mobility group) box,SOX100B,HMG-box
CG12054,True,0.9697,N/A,JUXTAPOSED WITH ANOTHER ZINC FINGER PROTEIN 1,beta-beta-alpha zinc fingers
pygo,True,0.9058,N/A,PYGOPUS,FYVE/PHD zinc finger
CG1792,True,0.9152,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
ttk,True,0.9993,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
tsh,True,0.9843,C2H2 type zinc-finger (2 copies),TEASHIRT-RELATED,beta-beta-alpha zinc fingers
CG31612,True,0.92,Zinc-finger of C2H2 type,IP01015P-RELATED,beta-beta-alpha zinc fingers
CG31601,True,0.7514,N/A,ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 18,CCCH zinc finger
Clamp,True,0.92,"Zinc finger, C2H2 type",ZINC FINGER AND SCAN DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG14589,True,0.7429,N/A,N/A,N/A
CG30431,True,0.966,C2H2-type zinc finger,KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
EcR,True,0.8718,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR,Nuclear receptor ligand-binding domain
Opbp,True,0.9355,Zinc-finger of C2H2 type,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
phtf,True,0.6886,"Homeodomain containing protein PHTF1/2, N-terminal",PUTATIVE HOMEODOMAIN TRANSCRIPTION FACTOR  PHTF,N/A
lms,True,0.9888,Homeodomain,HOMEOBOX PROTEIN EMX-RELATED,Homeodomain-like
maf-S,True,0.9371,bZIP Maf transcription factor,TRANSCRIPTION FACTOR MAF,A DNA-binding domain in eukaryotic transcription factors
MED8,True,0.9859,Mediator of RNA polymerase II transcription complex subunit 8,MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 8,N/A
CG11044,True,0.9553,F-box-like,N/A,F-box domain
rib,True,0.5693,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
EndoB,True,0.9041,Variant SH3 domain,SH3 DOMAIN-CONTAINING,SH3-domain
CG15107,True,0.5567,Myb/SANT-like DNA-binding domain,N/A,N/A
CG15073,True,0.9389,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG5726,True,0.5569,N/A,EIF4G DOMAIN PROTEIN,N/A
lolal,True,0.993,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
Hsf,True,0.9939,HSF-type DNA-binding,HEAT SHOCK TRANSCRIPTION FACTOR,"""Winged helix"" DNA-binding domain"
icln,True,0.5571,Regulator of volume decrease after cellular swelling,CHLORIDE CONDUCTANCE REGULATORY PROTEIN ICLN,N/A
rhi,True,0.6706,Chromo (CHRromatin Organisation MOdifier) domain,CHROMOBOX PROTEIN,Chromo domain-like
Tes,True,0.543,LIM domain,LIM DOMAIN-CONTAINING PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
CG30460,True,0.9893,zinc-finger of a C2HC-type,C2H2 ZINC FINGER CGI-62-RELATED,N/A
CG17717,True,0.9138,RING-variant domain,E3 UBIQUITIN-PROTEIN LIGASE MARCH 2/3 FAMILY MEMBER,RING/U-box
Nf-YC,True,0.9483,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED,Histone-fold
CG14440,True,0.9593,STPRs (score and three amino acid peptide repeats),N/A,N/A
CG14442,True,0.9704,STPRs (score and three amino acid peptide repeats),SYNAPTIC VESICLE MEMBRANE PROTEIN VAT-1 HOMOLOG-LIKE,N/A
CG3032,True,0.9895,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,beta-beta-alpha zinc fingers
hdm,True,0.781,"MEIOB, N-terminal",CELL DIVISION CONTROL PROTEIN 24 OB DOMAIN-CONTAINING PROTEIN-RELATED,Nucleic acid-binding proteins
CG2116,True,0.9788,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG2120,True,0.9937,N/A,N/A,N/A
CG2129,True,0.7547,"Zinc finger, C2H2 type",ZINC FINGER AND BTB DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG15336,True,0.6712,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG10959,True,0.961,Zinc-finger double-stranded RNA-binding,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Imzf,True,0.9561,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG2278,True,0.5338,N/A,N/A,N/A
Smox,True,0.9914,MH2 domain,SMAD,SMAD MH1 domain
Rubicon,True,0.9341,"Rubicon, PI3K-binding domain",PHOX (PX) DOMAIN-CONTAINING PROTEIN,RUN domain-like
CG11294,True,0.9989,Homeodomain,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
org-1,True,0.9986,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
CG12075,True,0.8077,N/A,LP09875P,PH domain-like
Lim1,True,0.9863,Homeodomain,LIM/HOMEOBOX PROTEIN LHX,Homeodomain-like
AP-1gamma,True,0.6497,N/A,N/A,N/A
Bap111,True,0.9572,HMG (high mobility group) box,SMARCE1 REGULATOR OF CHROMATIN,HMG-box
lz,True,0.9984,Runt domain,RUNT RELATED,p53-like transcription factors
Cfp1,True,0.9519,CpG binding protein C-terminal domain,CXXC-TYPE ZINC FINGER PROTEIN 1,FYVE/PHD zinc finger
CG17440,True,0.8885,PHD-finger,CXXC-TYPE ZINC FINGER PROTEIN 1,FYVE/PHD zinc finger
SmydA-9,True,0.8818,SET domain,"SET AND MYND DOMAIN CONTAINING, ARTHROPOD-SPECIFIC, MEMBER 4, ISOFORM A",SET domain
btd,True,0.9946,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
Sp1,True,0.97,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
CG2889,True,0.9644,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG32687,True,0.952,Leucine-rich repeat region,N/A,L domain-like
CG32686,True,0.7193,N/A,N/A,N/A
Rx,True,0.999,Homeodomain,"HOMEOBOX PROTEIN, PUTATIVE-RELATED",beta-sandwich domain of Sec23/24
grau,True,0.9574,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
hbn,True,0.9986,Homeodomain,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
otp,True,0.9975,Homeodomain,HOMEOBOX PROTEIN ORTHOPEDIA,Homeodomain-like
Xbp1,True,0.9789,Basic region leucine zipper,X-BOX BINDING PROTEIN 1,Leucine zipper domain
CG10321,True,0.8414,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Ip6k,True,0.8304,Inositol polyphosphate kinase,INOSITOL POLYPHOSPHATE KINASE,SAICAR synthase-like
NC2alpha,True,0.7582,N/A,N/A,N/A
HmgD,True,0.9239,HMG (high mobility group) box,HIGH MOBILITY GROUP PROTEIN DSP1,HMG-box
CG13488,True,0.7692,N/A,N/A,N/A
dany,True,0.99,CENP-B N-terminal DNA-binding domain,PROTEIN DISTAL ANTENNA,Homeodomain-like
Plekhm1,True,0.9527,Rubicon Homology Domain,PLECKSTRIN HOMOLOGY DOMAIN CONTAINING PROTEIN,RUN domain-like
dve,True,0.9974,Homeodomain,DNA-BINDING PROTEIN SATB FAMILY MEMBER,Homeodomain-like
CG8910,True,0.9612,"Zinc finger, C3HC4 type (RING finger)",RING FINGER PROTEIN 141-RELATED,RING/U-box
CG4282,True,0.963,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
CG15710,True,0.8954,"Zinc finger, C2H2 type",N/A,beta-beta-alpha zinc fingers
cato,True,0.9987,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
CG15708,True,0.6747,LITAF-like zinc ribbon domain,N/A,N/A
CG8388,True,0.9755,C2H2-type zinc finger,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Mlf,True,0.7412,Myelodysplasia-myeloid leukemia factor 1-interacting protein,MYELOID LEUKEMIA FACTOR,N/A
Poxn,True,0.9909,'Paired box' domain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
Xpc,True,0.913,Rad4 beta-hairpin domain 2,DNA REPAIR PROTEIN XP-C / RAD4,Cysteine proteinases
Hr51,True,0.986,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR,Nuclear receptor ligand-binding domain
ckn,True,0.5662,SAM domain (Sterile alpha motif),OSTEOCLAST-STIMULATING FACTOR 1,SAM/Pointed domain
chn,True,0.9523,N/A,ZINC FINGER PROTEIN 142,beta-beta-alpha zinc fingers
CG8089,True,0.8861,N/A,ZINC FINGER PROTEIN 142,beta-beta-alpha zinc fingers
CG10265,True,0.8976,N/A,N/A,N/A
HPS1,True,0.5116,"First Longin domain of FUZ, MON1 and HPS1",HERMANSKY-PUDLAK SYNDROME PROTEIN 1,N/A
CG10209,True,0.5602,BESS motif,AGAP001331-PA-RELATED,N/A
kn,True,0.9671,Transcription factor COE1 helix-loop-helix domain,TRANSCRIPTION FACTOR COE FAMILY MEMBER,E set domains
CG10151,True,0.9442,Myb/SANT-like DNA-binding domain,MYB_SANT-LIKE DNA-BINDING DOMAIN-CONTAINING PROTEIN 1,N/A
CG17385,True,0.9703,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
cg,True,0.9123,"Zinc finger, C2H2 type",ZNF44 PROTEIN,beta-beta-alpha zinc fingers
Arc1,True,0.6228,N/A,N/A,N/A
CG8547,True,0.8489,N/A,AGAP006184-PA,N/A
Sox15,True,0.9091,HMG (high mobility group) box,SOX TRANSCRIPTION FACTOR,HMG-box
mip120,True,0.9811,"Tesmin/TSO1-like CXC domain, cysteine-rich domain",TESMIN/TSO1-RELATED,N/A
Nadk1a,True,0.5949,ATP-NAD kinase C-terminal domain,NAD KINASE,NAD kinase/diacylglycerol kinase-like
Dp,True,0.9849,Transcription factor DP,TRANSCRIPTION FACTOR DP,"""Winged helix"" DNA-binding domain"
CG13326,True,0.9272,"EDR1/CTR1/ARMC3, peptidase-like",ARMADILLO REPEAT-CONTAINING PROTEIN 3,ARM repeat
sug,True,0.9913,"Zinc finger, C2H2 type",TRANSCRIPTIONAL ACTIVATOR CUBITUS INTERRUPTUS,beta-beta-alpha zinc fingers
CG17019,True,0.9908,RNF34/RFFL SAP domain,"CASPASE REGULATOR, RING FINGER DOMAIN-CONTAINING",RING/U-box
CG8569,True,0.7497,"ZMYND11/ZMYD8, MYND zinc finger",ZINC FINGER MYND DOMAIN-CONTAINING,HIT/MYND zinc finger-like
achi,True,0.9951,Homeobox KN domain,HOMEOBOX PROTEIN TRANSCRIPTION FACTORS,Homeodomain-like
vis,True,0.9906,Homeobox KN domain,HOMEOBOX PROTEIN TRANSCRIPTION FACTORS,Homeodomain-like
Drep3,True,0.6918,CIDE-N domain,CELL DEATH ACTIVATOR CIDE,CAD & PB1 domains
CG8854,True,0.5513,N/A,N/A,N/A
ADD1,True,0.7435,N/A,TRANSCRIPTIONAL REGULATOR ATRX,FYVE/PHD zinc finger
CG9003,True,0.9744,Leucine Rich repeat,"PARTNER OF PAIRED, ISOFORM B-RELATED",F-box domain
CG12391,True,0.9168,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
luna,True,0.998,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
CG12942,True,0.7354,Zinc-finger of C2H2 type,KRAB AND ZINC FINGER DOMAIN-CONTAINING,Glucocorticoid receptor-like (DNA-binding domain)
Polr2E,True,0.9893,"RNA polymerase Rpb5, C-terminal domain","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC1",RPB5-like RNA polymerase subunit
Caf1-105,True,0.5414,CAF1B/HIR1 beta-propeller domain,CHROMATIN ASSEMBLY FACTOR 1 SUBUNIT B,WD40 repeat-like
CG18011,True,0.9921,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG12911,True,0.5351,N/A,N/A,N/A
Hr3,True,0.988,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR HR3-RELATED,Nuclear receptor ligand-binding domain
Lime,True,0.6892,N/A,ZINC FINGER PROTEIN,N/A
CG12744,True,0.7603,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,beta-beta-alpha zinc fingers
eve,True,0.9946,Homeodomain,SEGMENTATION PROTEIN EVEN-SKIPPED,Homeodomain-like
Jra,True,0.9832,Jun-like transcription factor,JUN TRANSCRIPTION FACTOR-RELATED,Leucine zipper domain
Mef2,True,0.9974,Holliday junction regulator protein family C-terminal repeat,MADS BOX PROTEIN,SRF-like
CG1663,True,0.9588,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
unpg,True,0.9886,Homeodomain,HOMEOBOX PROTEIN GBX,Homeodomain-like
Mad1,True,0.6551,Mitotic checkpoint protein,MITOTIC SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD1  MITOTIC ARREST DEFICIENT-LIKE PROTEIN 1,"Mitotic arrest deficient-like 1, Mad1"
CG8746,True,0.686,N/A,N/A,N/A
Nup50,True,0.7271,NUP50 (Nucleoporin 50 kDa),NUCLEAR PORE COMPLEX PROTEIN SIMILAR TO S. CEREVISIAE NUP2 (EUROFUNG),PH domain-like
dpn,True,0.986,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED",Orange domain-like
CG12769,True,0.9963,Zinc-finger of C2H2 type,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Hey,True,0.9955,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED","HLH, helix-loop-helix DNA-binding domain"
CG1602,True,0.9375,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
so,True,0.9973,"Transcriptional regulator, SIX1, N-terminal SD domain",HOMEOBOX PROTEIN SIX,Homeodomain-like
CG11125,True,0.9631,Calmodulin-binding,ENKURIN-RELATED,N/A
cliff,True,0.8955,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
az2,True,0.895,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Slip1,True,0.649,PDZ domain,"PDZ DOMAIN CONTAINING RING FINGER PROTEIN 3, 4",PDZ domain-like
NfI,True,0.9938,MH1 domain,NUCLEAR FACTOR I,N/A
CG32006,True,0.9917,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
toy,True,0.9867,'Paired box' domain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
pho,True,0.9707,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR PROTEIN YY,beta-beta-alpha zinc fingers
Polr1G,True,0.5365,N/A,N/A,N/A
fd102C,True,0.988,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
Sox102F,True,0.997,HMG (high mobility group) box,FI18025P1,HMG-box
pb,True,0.9962,Homeodomain,PROTEIN ZERKNUELLT 1-RELATED,Homeodomain-like
Wnt4,True,0.9653,wnt family,WNT RELATED,N/A
Rel,True,0.9631,Ankyrin repeats (3 copies),NUCLEAR FACTOR NF-KAPPA-B PROTEIN,p53-like transcription factors
HLH54F,True,0.98,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, TWIST","HLH, helix-loop-helix DNA-binding domain"
